ID_num	ID	Plot	Subplot	Depth	Zone	Sampling_date	Dominant_plant_species_1	Subdominant_plant_species_1	Sampling_notes	Plate	Date	EEA_g	EEA_buffer	Inc_start	Inc_end	Assay_notes
13	110(C2)0-5	110	(C2)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_025-1	11.07.2023	2.05	22.09	13:40	10:25	
14	110(C2)5-10	110	(C2)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_025-2	11.07.2023	2.01	22.01	13:40	10:25	
15	110(C2)20-30	110	(C2)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_025-3	11.07.2023	2.01	22.06	13:40	10:25	
16	110(C2)40-50	110	(C2)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_025-4	11.07.2023	1.99	22.01	13:40	10:25	
17	110(C2)60-80	110	(C2)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_025-5	11.07.2023	2	22	13:40	10:25	
18	110(C2)80-100	110	(C2)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_025-6	11.07.2023	2.03	22.12	13:40	10:25	
19	110(G5)0-5	110	(G5)	0-5	PZ	13.09.2022	Puccinellia maritima	Spartina anglica, Salicornia europaea		Plate_054-1	03.08.2023	2.02	22.06	11:30	10:40	
20	110(G5)5-10	110	(G5)	05. Okt	PZ	13.09.2022	Puccinellia maritima	Spartina anglica, Salicornia europaea		Plate_054-2	03.08.2023	2.05	22	11:30	10:40	
21	110(G5)20-30	110	(G5)	20-30	PZ	13.09.2022	Puccinellia maritima	Spartina anglica, Salicornia europaea		Plate_054-3	03.08.2023	2.01	22.06	11:30	10:40	
22	110(G5)40-50	110	(G5)	40-50	PZ	13.09.2022	Puccinellia maritima	Spartina anglica, Salicornia europaea		Plate_054-4	03.08.2023	2.05	22.02	11:30	10:40	
23	110(G5)60-80	110	(G5)	60-80	PZ	13.09.2022	Puccinellia maritima	Spartina anglica, Salicornia europaea		Plate_054-5	03.08.2023	2.06	22.1	11:30	10:40	
24	110(G5)80-100	110	(G5)	80-100	PZ	13.09.2022	Puccinellia maritima	Spartina anglica, Salicornia europaea		Plate_054-6	03.08.2023	2.04	22.1	11:30	10:40	
25	111(A2)0-5	111	(A2)	0-5 (nicht da)	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_108-6	24.10.2023	2.14	22.02	16:05	13:25	
26	111(A2)5-10	111	(A2)	05. Okt	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_063-2	24.10.2023	2.02	22.06	16:05	13:25	
27	111(A2)20-30	111	(A2)	20-30	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_063-3	24.10.2023	2	22.02	16:05	13:25	
28	111(A2)40-50	111	(A2)	40-50 (nicht da)	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_109-1	24.10.2023	2	22.06	16:05	13:25	
29	111(A2)60-80	111	(A2)	60-80	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_063-5	24.10.2023	2.01	22.01	16:05	13:25	
30	111(A2)80-100	111	(A2)	80-100	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_063-6	24.10.2023	2	22.06	16:05	13:25	
31	111(A6)0-5	111	(A6)	0-5	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_064-1	24.10.2023	2.02	22.04	16:30	13:30	
32	111(A6)5-10	111	(A6)	05. Okt	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_064-2	24.10.2023	2.01	22.02	16:30	13:30	
33	111(A6)20-30	111	(A6)	20-30	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_064-3	24.10.2023	2.03	22.01	16:30	13:30	
34	111(A6)40-50	111	(A6)	40-50	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_064-4	24.10.2023	2	22.03	16:30	13:30	
35	111(A6)60-80	111	(A6)	60-80 (nicht da)	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_108-5	24.10.2023	2.17	22.06	16:30	13:30	
36	111(A6)80-100	111	(A6)	80-100	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Puccinellia maritima		Plate_064-6	24.10.2023	2.01	22.03	16:30	13:30	
37	111(C2)0-5	111	(C2)	0-5	PZ	13.09.2022		Spartina anglica, Puccinellia maritima	Used second plate reader	Plate_047-1	02.08.2023	2.03	22.59	13:30	10:30	
38	111(C2)5-10	111	(C2)	05. Okt	PZ	13.09.2022		Spartina anglica, Puccinellia maritima	Used second plate reader	Plate_047-2	02.08.2023	2.05	22.01	13:30	10:30	
39	111(C2)20-30	111	(C2)	20-30	PZ	13.09.2022		Spartina anglica, Puccinellia maritima	Used second plate reader	Plate_047-3	02.08.2023	2.04	22.03	13:30	10:30	
40	111(C2)40-50	111	(C2)	40-50	PZ	13.09.2022		Spartina anglica, Puccinellia maritima	Used second plate reader	Plate_047-4	02.08.2023	2.02	22.02	13:30	10:30	
41	111(C2)60-80	111	(C2)	60-80	PZ	13.09.2022		Spartina anglica, Puccinellia maritima	Used second plate reader	Plate_047-5	02.08.2023	2	22.07	13:30	10:30	
42	111(C2)80-100	111	(C2)	80-100	PZ	13.09.2022		Spartina anglica, Puccinellia maritima	Used second plate reader	Plate_047-6	02.08.2023	2.04	22	13:30	10:30	
43	111(G5)0-5	111	(G5)	0-5	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Limonium vulgare		Plate_070-1	26.1	2.03	22.84	12:00	12:15	
44	111(G5)5-10	111	(G5)	05. Okt	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Limonium vulgare	short	Plate_070-2	26.10.2023	2.01	22.18	12:00	12:15	
45	111(G5)20-30	111	(G5)	20-30	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Limonium vulgare		Plate_070-3	26.1	2.05	22.08	12:00	12:15	
46	111(G5)40-50	111	(G5)	40-50	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Limonium vulgare		Plate_070-4	26.10.2023	2	22.01	12:00	12:15	
47	111(G5)60-80	111	(G5)	60-80	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Limonium vulgare		Plate_070-5	26.1	2.03	22.03	12:00	12:15	
48	111(G5)80-100	111	(G5)	80-100	PZ	13.09.2022		Spartina anglica, Salicornia europaea, Limonium vulgare		Plate_070-6	26.10.2023	2.03	22.03	12:00	12:15	Standard und substrat vertauscht!!!
49	112(A2)0-5	112	(A2)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_059-1	23.10.2023	2	22.01	15:00	14:20	
50	112(A2)5-10	112	(A2)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_059-2	23.10.2023	2.02	22.03	15:00	14:20	
51	112(A2)20-30	112	(A2)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_059-3	23.10.2023	2	22.04	15:00	14:20	
52	112(A2)40-50	112	(A2)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_059-4	23.10.2023	2.04	22.02	15:00	14:20	
53	112(A2)60-80	112	(A2)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_059-5	23.10.2023	2	22.01	15:00	14:20	
54	112(A2)80-100	112	(A2)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea	95cm total	Plate_059-6	23.10.2023	2	22.02	15:00	14:20	
55	112(A6)0-5	112	(A6)	0-5	PZ	13.09.2022	Spartina anglica			Plate_076-1	27.11.2023	2.03	22.04	16:10	12:50	
56	112(A6)5-10	112	(A6)	05. Okt	PZ	13.09.2022	Spartina anglica			Plate_076-2	27.11.2023	2.01	22.02	16:10	12:50	
57	112(A6)20-30	112	(A6)	20-30	PZ	13.09.2022	Spartina anglica			Plate_076-3	27.11.2023	2.02	22.02	16:10	12:50	
58	112(A6)40-50	112	(A6)	40-50	PZ	13.09.2022	Spartina anglica			Plate_108-3						nicht da
59	112(A6)60-80	112	(A6)	60-80	PZ	13.09.2022	Spartina anglica			Plate_108-4		2.04	22.29			nicht da
60	112(A6)80-100	112	(A6)	80-100	PZ	13.09.2022	Spartina anglica			Plate_109-2						nicht da
61	112(C2)0-5	112	(C2)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_048-1	02.08.2023	2.03	20.17	12:45	13:15	
62	112(C2)5-10	112	(C2)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_048-2	02.08.2023	2.04	20.03	12:45	13:15	
63	112(C2)20-30	112	(C2)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_048-3	02.08.2023	2.03	20.02	12:45	13:15	
64	112(C2)40-50	112	(C2)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_048-4	02.08.2023	2.02	20.07	12:45	13:15	
65	112(C2)60-80	112	(C2)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_048-5	02.08.2023	1.99	20.08	12:45	13:15	
66	112(C2)80-100	112	(C2)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_048-6	02.08.2023	2.04	22.2	12:45	13:15	
67	112(G5)0-5	112	(G5)	0-5	PZ	13.09.2022	Salicornia europaea	Spartina anglica, Limonium vulgare	close to top pin	Plate_043-1	02.08.2023	2.1	22.35	10:45	13:15	
68	112(G5)5-10	112	(G5)	05. Okt	PZ	13.09.2022	Salicornia europaea	Spartina anglica, Limonium vulgare	close to top pin	Plate_108-2		2.02	22.02			
69	112(G5)20-30	112	(G5)	20-30	PZ	13.09.2022	Salicornia europaea	Spartina anglica, Limonium vulgare	close to top pin	Plate_043-3	02.08.2023	1.98	22.02	10:45	13:15	
70	112(G5)40-50	112	(G5)	40-50	PZ	13.09.2022	Salicornia europaea	Spartina anglica, Limonium vulgare	close to top pin	Plate_043-4	02.08.2023	2.05	22.01	10:45	13:15	
71	112(G5)60-80	112	(G5)	60-80	PZ	13.09.2022	Salicornia europaea	Spartina anglica, Limonium vulgare	close to top pin	Plate_043-5	02.08.2023	2.03	22.01	10:45	13:15	
72	112(G5)80-100	112	(G5)	80-100	PZ	13.09.2022	Salicornia europaea	Spartina anglica, Limonium vulgare	close to top pin	NA		1.96	22.26			
73	120(A2)0-5	120	(A2)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_014-1	04.07.2023	2.02	22.13	14:30	10:35	
74	120(A2)5-10	120	(A2)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_014-2	04.07.2023	2.04	22.26	14:30	10:35	
75	120(A2)20-30	120	(A2)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_014-3	04.07.2023	2.03	22.07	14:30	10:35	
76	120(A2)40-50	120	(A2)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_014-4	04.07.2023	2.02	22.02	14:30	10:35	
77	120(A2)60-80	120	(A2)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_014-5	04.07.2023	2.04	22	14:30	10:35	
78	120(A2)80-100	120	(A2)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_014-6	04.07.2023	2	22.15	14:30	10:35	
79	120(A6)0-5	120	(A6)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_080-1	28.11.2023	2.02	22.32	17:00	14:30	
80	120(A6)5-10	120	(A6)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_080-2	28.11.2023	2.01	22.02	17:00	14:30	
81	120(A6)20-30	120	(A6)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_080-3	28.11.2023	2.02	22.02	17:00	14:30	
82	120(A6)40-50	120	(A6)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_080-4	28.11.2023	2.02	22.41	17:00	14:30	
83	120(A6)60-80	120	(A6)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_080-5	28.11.2023	2.04	22.07	17:00	14:30	
84	120(A6)80-100	120	(A6)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_080-6	28.11.2023	2.03	22.02	17:00	14:30	
85	120(C2)0-5	120	(C2)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_006-1	29.06.2023	2	22	10:40	10:30	
86	120(C2)5-10	120	(C2)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_006-2	29.06.2023	2.02	22.04	10:40	10:30	
87	120(C2)20-30	120	(C2)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_006-3	29.06.2023	2.03	22.05	10:40	10:30	
88	120(C2)40-50	120	(C2)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_006-4	29.06.2023	2.04	22.08	10:40	10:30	
89	120(C2)60-80	120	(C2)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_006-5	29.06.2023	2.04	22.02	10:40	10:30	
90	120(C2)80-100	120	(C2)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_006-6	29.06.2023	2.04	22.03	10:40	10:30	
91	120(G5)0-5	120	(G5)	0-5	PZ	13.09.2022	Spartina anglica			Plate_078-1	28.11.2023	2.02	22.26	13:50	14:20	
92	120(G5)5-10	120	(G5)	05. Okt	PZ	13.09.2022	Spartina anglica			Plate_078-2	28.11.2023	2	22.09	13:50	14:20	
93	120(G5)20-30	120	(G5)	20-30	PZ	13.09.2022	Spartina anglica			Plate_078-3	28.11.2023	2.03	22.07	13:50	14:20	
94	120(G5)40-50	120	(G5)	40-50	PZ	13.09.2022	Spartina anglica			Plate_078-4	28.11.2023	2.05	22.02	13:50	14:20	
95	120(G5)60-80	120	(G5)	60-80	PZ	13.09.2022	Spartina anglica			Plate_078-5	28.11.2023	2.05	22.02	13:50	14:20	
96	120(G5)80-100	120	(G5)	80-100	PZ	13.09.2022	Spartina anglica			Plate_078-6	28.11.2023	2.01	22.02	13:50	14:20	
97	121(A2)0-5	121	(A2)	0-5	PZ	13.09.2022	Spartina anglica			Plate_007-1	29.06.2023	2.02	22	11:00	10:40	
98	121(A2)5-10	121	(A2)	05. Okt	PZ	13.09.2022	Spartina anglica			Plate_007-2	29.06.2023	2.01	22.02	11:00	10:40	
99	121(A2)20-30	121	(A2)	20-30	PZ	13.09.2022	Spartina anglica			Plate_007-3	29.06.2023	2.02	22	11:00	10:40	
100	121(A2)40-50	121	(A2)	40-50	PZ	13.09.2022	Spartina anglica			Plate_007-4	29.06.2023	2.01	22.02	11:00	10:40	
101	121(A2)60-80	121	(A2)	60-80	PZ	13.09.2022	Spartina anglica			Plate_007-5	29.06.2023	2.01	22.01	11:00	10:40	
102	121(A2)80-100	121	(A2)	80-100	PZ	13.09.2022	Spartina anglica			Plate_007-6	29.06.2023	2	22	11:00	10:40	
103	121(A6)0-5	121	(A6)	0-5	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_081-1	28.11.2023	2	22.03	17:30	14:30	
104	121(A6)5-10	121	(A6)	05. Okt	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_081-2	28.11.2023	2.01	22.02	17:30	14:30	
105	121(A6)20-30	121	(A6)	20-30	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_081-3	28.11.2023	2.02	22.02	17:30	14:30	
106	121(A6)40-50	121	(A6)	40-50	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_081-4	28.11.2023	2.03	22.03	17:30	14:30	
107	121(A6)60-80	121	(A6)	60-80	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_081-5	28.11.2023	2	22.01	17:30	14:30	
108	121(A6)80-100	121	(A6)	80-100	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_081-6	28.11.2023	2.01	22.04	17:30	14:30	
109	121(C2)0-5	121	(C2)	0-5	PZ	13.09.2022	Spartina anglica			Plate_001-1	26.06.2023	2	22.07	11:25	10:20	Was originally at 112 C2, but no note on the bag that C2 has been done. On the 121 C2 bag there was a note that it has been done though!.
110	121(C2)5-10	121	(C2)	05. Okt	PZ	13.09.2022	Spartina anglica			Plate_001-2	26.06.2023	1.98	21.99	11:25	10:20	Was originally at 112 C2, but no note on the bag that C2 has been done. On the 121 C2 bag there was a note that it has been done though!.
111	121(C2)20-30	121	(C2)	20-30	PZ	13.09.2022	Spartina anglica			Plate_001-3	26.06.2023	2.03	22.07	11:25	10:20	Was originally at 112 C2, but no note on the bag that C2 has been done. On the 121 C2 bag there was a note that it has been done though!.
112	121(C2)40-50	121	(C2)	40-50	PZ	13.09.2022	Spartina anglica			Plate_001-4	26.06.2023	1.99	22.08	11:25	10:20	Was originally at 112 C2, but no note on the bag that C2 has been done. On the 121 C2 bag there was a note that it has been done though!.
113	121(C2)60-80	121	(C2)	60-80	PZ	13.09.2022	Spartina anglica			Plate_001-5	26.06.2023	1.99	22.09	11:25	10:20	Was originally at 112 C2, but no note on the bag that C2 has been done. On the 121 C2 bag there was a note that it has been done though!.
114	121(C2)80-100	121	(C2)	80-100	PZ	13.09.2022	Spartina anglica			Plate_001-6	26.06.2023	2.05	22.07	11:25	10:20	Was originally at 112 C2, but no note on the bag that C2 has been done. On the 121 C2 bag there was a note that it has been done though!.
115	121(G5)0-5	121	(G5)	0-5	PZ	13.09.2022	Salicornia europaea	Spartina anglica		Plate_079-1	28.11.2023	2	22.02	15:05	14:25	
116	121(G5)5-10	121	(G5)	05. Okt	PZ	13.09.2022	Salicornia europaea	Spartina anglica		Plate_079-2	28.11.2023	2.03	22.02	15:05	14:25	
117	121(G5)20-30	121	(G5)	20-30	PZ	13.09.2022	Salicornia europaea	Spartina anglica		Plate_079-3	28.11.2023	2	22.01	15:05	14:25	
118	121(G5)40-50	121	(G5)	40-50	PZ	13.09.2022	Salicornia europaea	Spartina anglica		Plate_079-4	28.11.2023	2	22	15:05	14:25	
119	121(G5)60-80	121	(G5)	60-80	PZ	13.09.2022	Salicornia europaea	Spartina anglica		Plate_079-5	28.11.2023	2	22	15:05	14:25	
120	121(G5)80-100	121	(G5)	80-100	PZ	13.09.2022	Salicornia europaea	Spartina anglica		Plate_079-6	28.11.2023	2	22.05	15:05	14:25	
121	122(A2)0-5	122	(A2)	0-5	PZ	13.09.2022	Spartina anglica			Plate_077-1	28.11.2023	2.01	22.11	13:30	14:15	
122	122(A2)5-10	122	(A2)	05. Okt	PZ	13.09.2022	Spartina anglica			Plate_077-2	28.11.2023	2.05	22.01	13:30	14:15	
123	122(A2)20-30	122	(A2)	20-30	PZ	13.09.2022	Spartina anglica			Plate_077-3	28.11.2023	2.04	22.03	13:30	14:15	
124	122(A2)40-50	122	(A2)	40-50	PZ	13.09.2022	Spartina anglica			Plate_077-4	28.11.2023	2.01	22.12	13:30	14:15	
125	122(A2)60-80	122	(A2)	60-80	PZ	13.09.2022	Spartina anglica			Plate_077-5	28.11.2023	2.05	22.15	13:30	14:15	
126	122(A2)80-100	122	(A2)	80-100	PZ	13.09.2022	Spartina anglica			Plate_077-6	28.11.2023	2.05	22.17	13:30	14:15	
127	122(A6)0-5	122	(A6)	0-5	PZ	13.09.2022	Salicornia europaea			Plate_058-1	03.08.2023	2.03	22.3	14:10	10:40	
128	122(A6)5-10	122	(A6)	05. Okt	PZ	13.09.2022	Salicornia europaea		Switch w/ 4	Plate_058-2	03.08.2023	2.03	22.13	14:10	10:40	
129	122(A6)20-30	122	(A6)	20-30	PZ	13.09.2022	Salicornia europaea			Plate_058-3	03.08.2023	2.02	22.17	14:10	10:40	
130	122(A6)40-50	122	(A6)	40-50	PZ	13.09.2022	Salicornia europaea		Switch w/ 2	Plate_058-4	03.08.2023	2.02	22.12	14:10	10:40	
131	122(A6)60-80	122	(A6)	60-80	PZ	13.09.2022	Salicornia europaea			Plate_058-5	03.08.2023	2.03	22.25	14:10	10:40	
132	122(A6)80-100	122	(A6)	80-100	PZ	13.09.2022	Salicornia europaea			Plate_058-6	03.08.2023	2.01	22.26	14:10	10:40	
133	122(C2)0-5	122	(C2)	0-5	PZ	13.09.2022	Spartina anglica			Plate_060-1	24.10.2023	2.08	22.27	14:10	13:15	
134	122(C2)5-10	122	(C2)	05. Okt	PZ	13.09.2022	Spartina anglica			Plate_060-2	24.10.2023	2.07	22.06	14:10	13:15	
135	122(C2)20-30	122	(C2)	20-30	PZ	13.09.2022	Spartina anglica			Plate_060-3	24.10.2023	2.02	22.07	14:10	13:15	
136	122(C2)40-50	122	(C2)	40-50	PZ	13.09.2022	Spartina anglica			Plate_060-4	24.10.2023	2.03	22.13	14:10	13:15	
137	122(C2)60-80	122	(C2)	60-80	PZ	13.09.2022	Spartina anglica			Plate_060-5	24.10.2023	2.06	22.15	14:10	13:15	
138	122(C2)80-100	122	(C2)	80-100	PZ	13.09.2022	Spartina anglica			Plate_060-6	24.10.2023	2.04	22.12	14:10	13:15	
139	122(G5)0-5	122	(G5)	0-5	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_062-1	24.10.2023	2.02	22.04	15:40	13:25	
140	122(G5)5-10	122	(G5)	05. Okt	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_062-2	24.10.2023	2.01	22.08	15:40	13:25	
141	122(G5)20-30	122	(G5)	20-30	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_062-3	24.10.2023	2	22.06	15:40	13:25	
142	122(G5)40-50	122	(G5)	40-50	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_062-4	24.10.2023	2.06	22.01	15:40	13:25	
143	122(G5)60-80	122	(G5)	60-80	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_062-5	24.10.2023	2.04	22.18	15:40	13:25	
144	122(G5)80-100	122	(G5)	80-100	PZ	13.09.2022		Spartina anglica, Salicornia europaea		Plate_062-6	24.10.2023	2.06	22.12	15:40	13:25	
145	130(A2)0-5	130	(A2)	0-5	PZ	14.09.2022	Puccinellia maritima	Salicornia europaea		Plate_015-1	04.07.2023	2.05	22.08	14:50	10:40	
146	130(A2)5-10	130	(A2)	05. Okt	PZ	14.09.2022	Puccinellia maritima	Salicornia europaea		Plate_015-2	04.07.2023	2.04	22.15	14:50	10:40	
147	130(A2)20-30	130	(A2)	20-30	PZ	14.09.2022	Puccinellia maritima	Salicornia europaea		Plate_015-3	04.07.2023	2.04	22.11	14:50	10:40	
148	130(A2)40-50	130	(A2)	40-50	PZ	14.09.2022	Puccinellia maritima	Salicornia europaea		Plate_015-4	04.07.2023	2.03	22.07	14:50	10:40	
149	130(A2)60-80	130	(A2)	60-80	PZ	14.09.2022	Puccinellia maritima	Salicornia europaea		Plate_015-5	04.07.2023	2	22.15	14:50	10:40	
150	130(A2)80-100	130	(A2)	80-100	PZ	14.09.2022	Puccinellia maritima	Salicornia europaea		Plate_015-6	04.07.2023	2.06	22.3	14:50	10:40	
151	130(A6)0-5	130	(A6)	0-5	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_023-1	05.07.2023	2.03	22.06	14:30	10:25	
152	130(A6)5-10	130	(A6)	05. Okt	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_023-2	05.07.2023	2.02	22.03	14:30	10:25	
153	130(A6)20-30	130	(A6)	20-30	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_023-3	05.07.2023	2	22.03	14:30	10:25	
154	130(A6)40-50	130	(A6)	40-50	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_023-4	05.07.2023	2	22.08	14:30	10:25	
155	130(A6)60-80	130	(A6)	60-80	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_023-5	05.07.2023	2.02	22.04	14:30	10:25	
156	130(A6)80-100	130	(A6)	80-100	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_023-6	05.07.2023	2	22.03	14:30	10:25	
157	130(C2)0-5	130	(C2)	0-5	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_057-1	03.08.2023	2.01	22.4	13:50	10:40	
158	130(C2)5-10	130	(C2)	05. Okt	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_057-2	03.08.2023	2.04	22.19	13:50	10:40	
159	130(C2)20-30	130	(C2)	20-30	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_057-3	03.08.2023	2.03	22.26	13:50	10:40	
160	130(C2)40-50	130	(C2)	40-50	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_057-4	03.08.2023	2	22.02	13:50	10:40	
161	130(C2)60-80	130	(C2)	60-80	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_057-5	03.08.2023	2.02	22.08	13:50	10:40	
162	130(C2)80-100	130	(C2)	80-100	PZ	14.09.2022		Suaeda maritima, Limonium vulgare, Salicornia europaea		Plate_057-6	03.08.2023	2.02	22.03	13:50	10:40	
