"UID","Plate.x","Depth.x","ID.y","Subplot","Depth.y","Zone","Sampling_date","Dominant_plant_species_1","Subdominant_plant_species_1","Plate.y","Date","Inc_start","Inc_end","Crucible_ID","ID.x","Blank","Standard","Sub_ctrl","Hom_ctrl","Quench","Assay","n","ID_num","Plot","EEA_g","EEA_buffer","Crucible_weight","Crucible_FW","Crucible_DW_105","Crucible_LOI_550","LOI_g","OM_.","OM_g","Enzyme","Inc_time","Total_g","Quench_coeff","Emission_coeff","Net_fluorescence","Activity_OM","Treatment","Layer"
"Plate_002-5","Plate_002","60-80 cm","372(G5)60-80","(G5)","60-80","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_002-5","26.06.2023",2025-07-08 13:37:00,2025-07-08 11:25:00,"104",5,208,55895,1099.5,4541.25,1420999.25,3738600.75,5,503,"372",2.04,22.01,16.6117,20.2537,19.2163,19.1117,0.1046,0.028720483,0.058589786,"GLU",21.8,24.05,25.3414079971375,11179,146250.61963115,1127.21406769538,"+3.0°C","Subsoil
(40-100 cm)"
"Plate_002-6","Plate_002","80-100 cm","372(G5)80-100","(G5)","80-100","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_002-6","26.06.2023",2025-07-08 13:37:00,2025-07-08 11:25:00,"107",6,208,55895,1099.5,5450.75,1433966.5,2565146.5,5,504,"372",1.98,22.13,22.2027,26.1485,25.1334,25.018,0.1154,0.029246287,0.057907649,"GLU",21.8,24.11,25.5571294391269,11179,99056.3393362131,776.673182182762,"+3.0°C","Subsoil
(40-100 cm)"
"Plate_003-1","Plate_003","0-5 cm","391(C2)0-5","(C2)","0-5","High marsh","15.09.2022","Elymus athericus","","Plate_003-1","27.06.2023",2025-07-08 13:30:00,2025-07-08 11:00:00,"6",1,1132.5,2299439,4112,5847.25,668690.5,5640201.25,5,613,"391",2.03,22.01,17.2852,20.3721,18.9253,18.6871,0.2382,0.077164793,0.15664453,"GLU",21.5,24.04,0.288263028503909,459887.8,19541766.0449314,1388.50764055938,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_003-2","Plate_003","5-10 cm","391(C2)5-10","(C2)","5-10","High marsh","15.09.2022","Elymus athericus","","Plate_003-2","27.06.2023",2025-07-08 13:30:00,2025-07-08 11:00:00,"16",2,1132.5,2299439,4112,5905.75,659491.5,4391377,5,614,"391",2,22.03,17.0155,19.0845,18.0059,17.8991,0.1068,0.05161914,0.103238279,"GLU",21.5,24.03,0.284237046514389,459887.8,15424810.1049093,1664.45946394406,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_003-3","Plate_003","20-30 cm","391(C2)20-30","(C2)","20-30","High marsh","15.09.2022","Elymus athericus","","Plate_003-3","27.06.2023",2025-07-08 13:30:00,2025-07-08 11:00:00,"54",3,1132.5,2299439,4112,5004.75,894160.25,3597034.25,5,615,"391",2.01,22.01,16.9473,20.4245,19.3815,19.2799,0.1016,0.029218912,0.058730013,"GLU",21.5,24.02,0.386683665015684,459887.8,9285211.09528592,1759.67062012617,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_003-4","Plate_003","40-50 cm","391(C2)40-50","(C2)","40-50","High marsh","15.09.2022","Elymus athericus","","Plate_003-4","27.06.2023",2025-07-08 13:30:00,2025-07-08 11:00:00,"7",4,1035.5,2437361.25,4352.25,4585,1049438.75,777014.25,5,616,"391",2,22.04,18.7199,22.3877,21.313,21.2202,0.0928,0.025301271,0.050602541,"GLU",21.5,24.04,0.42868235063637,487472.25,1797516.31037657,373.502704637887,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_003-5","Plate_003","60-80 cm","391(C2)60-80","(C2)","60-80","High marsh","15.09.2022","Elymus athericus","","Plate_003-5","27.06.2023",2025-07-08 13:30:00,2025-07-08 11:00:00,"22",5,1035.5,2437361.25,4352.25,4492.25,1454886,2411940.5,5,617,"391",2,22,17.122,19.9982,19.2569,19.1977,0.0592,0.020582713,0.041165427,"GLU",21.5,24,0.595067206389697,487472.25,4041322.29591576,1030.3747074289,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_003-6","Plate_003","80-100 cm","391(C2)80-100","(C2)","80-100","High marsh","15.09.2022","Elymus athericus","","Plate_003-6","27.06.2023",2025-07-08 13:30:00,2025-07-08 11:00:00,"37",6,1035.5,2437361.25,4352.25,4452,1145157.5,1861378.25,5,618,"391",2.03,22.04,17.5703,21.1167,20.2691,20.1967,0.0724,0.020415069,0.04144259,"GLU",21.5,24.07,0.46800838406699,487472.25,3963367.80207112,1005.56633250975,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_004-1","Plate_004","0-5 cm","370(G5)0-5","(G5)","0-5","High marsh","14.09.2022","Elymus athericus","","Plate_004-1","27.06.2023",2025-07-08 14:00:00,2025-07-08 11:00:00,"82",1,1026,2272964.5,4853.5,5002,1043787.5,4585306.75,5,451,"370",2.08,22.09,16.156,18.5687,17.7551,17.5704,0.1847,0.076553239,0.159230737,"GLU",21,24.17,0.457017916469879,454592.9,10017302.2731903,727.859660626022,"ambient","Topsoil
(0-30 cm)"
"Plate_004-2","Plate_004","5-10 cm","370(G5)5-10","(G5)","5-10","High marsh","14.09.2022","Elymus athericus","","Plate_004-2","27.06.2023",2025-07-08 14:00:00,2025-07-08 11:00:00,"171",2,1026,2272964.5,4853.5,4207,1021014.5,4231896.5,5,452,"370",2.01,22.21,19.2377,21.5502,20.7767,20.6244,0.1523,0.065859459,0.132377514,"GLU",21,24.22,0.447348605752532,454592.9,9445694.56393811,830.034792142417,"ambient","Topsoil
(0-30 cm)"
"Plate_004-3","Plate_004","20-30 cm","370(G5)20-30","(G5)","20-30","High marsh","14.09.2022","Elymus athericus","","Plate_004-3","27.06.2023",2025-07-08 14:00:00,2025-07-08 11:00:00,"31",3,1026,2272964.5,4853.5,3845,1141067,4208121.75,5,453,"370",2.01,22.12,17.3468,20.1653,19.4111,19.3013,0.1098,0.038956892,0.078303353,"GLU",21,24.13,0.5003254560289,454592.9,8398230.33141144,1242.56926192742,"ambient","Topsoil
(0-30 cm)"
"Plate_004-4","Plate_004","40-50 cm","370(G5)40-50","(G5)","40-50","High marsh","14.09.2022","Elymus athericus","","Plate_004-4","27.06.2023",2025-07-08 14:00:00,2025-07-08 11:00:00,"126",4,1044,2356093,4660.75,3831.25,1265023.75,679709.25,5,454,"370",2.02,22.12,19.5351,22.8484,21.9101,21.7737,0.1364,0.041167416,0.083158181,"GLU",21,24.14,0.535289778459509,471218.6,1257978.71594513,169.07590464572,"ambient","Subsoil
(40-100 cm)"
"Plate_004-5","Plate_004","60-80 cm","370(G5)60-80","(G5)","60-80","High marsh","14.09.2022","Elymus athericus","","Plate_004-5","27.06.2023",2025-07-08 14:00:00,2025-07-08 11:00:00,"2",5,1044,2356093,4660.75,3911,865792.5,285735.25,5,455,"370",2.06,22.14,17.3321,19.9831,19.3306,19.2551,0.0755,0.028479819,0.058668427,"GLU",21,24.2,0.36580962636025,471218.6,765751.589347405,146.012273812425,"ambient","Subsoil
(40-100 cm)"
"Plate_006-1","Plate_006","0-5 cm","120(C2)0-5","(C2)","0-5","Pioneer zone","13.09.2022","Spartina anglica","Salicornia europaea","Plate_006-1","29.06.2023",2025-07-08 10:40:00,2025-07-08 10:30:00,"160",1,224,334375,1720.25,3623,476352.75,1948930.75,5,85,"120",2,22,17.2394,19.6059,18.4257,18.2915,0.1342,0.056708219,0.113416438,"GLU",23.8333333333333,24,1.41377121495327,66875,1374250.43707068,836.245864896993,"ambient","Topsoil
(0-30 cm)"
"Plate_006-2","Plate_006","5-10 cm","120(C2)5-10","(C2)","5-10","Pioneer zone","13.09.2022","Spartina anglica","Salicornia europaea","Plate_006-2","29.06.2023",2025-07-08 10:40:00,2025-07-08 10:30:00,"65",2,224,334375,1720.25,2911.25,1013808.5,3108182.75,5,86,"120",2.02,22.04,21.788,24.0475,23.0711,22.9738,0.0973,0.043062624,0.086986501,"GLU",23.8333333333333,24.06,3.02324411214953,66875,1025411.99099927,815.041161611397,"ambient","Topsoil
(0-30 cm)"
"Plate_006-3","Plate_006","20-30 cm","120(C2)20-30","(C2)","20-30","Pioneer zone","13.09.2022","Spartina anglica","Salicornia europaea","Plate_006-3","29.06.2023",2025-07-08 10:40:00,2025-07-08 10:30:00,"185",3,224,334375,1720.25,3190.25,1339466.25,2165700.5,5,87,"120",2.03,22.05,21.6642,24.0011,23.218,23.1559,0.0621,0.026573666,0.053944542,"GLU",23.8333333333333,24.08,3.99633943925234,66875,539402.515688937,691.66448016377,"ambient","Topsoil
(0-30 cm)"
"Plate_006-4","Plate_006","40-50 cm","120(C2)40-50","(C2)","40-50","Pioneer zone","13.09.2022","Spartina anglica","Salicornia europaea","Plate_006-4","29.06.2023",2025-07-08 10:40:00,2025-07-08 10:30:00,"181",4,221.75,359056.5,4422.25,3968,1411112.25,1732785.5,5,88,"120",2.04,22.08,19.253,21.4488,20.4987,20.4268,0.0719,0.03274433,0.066798433,"GLU",23.8333333333333,24.12,3.91900508694314,71811.3,436714.584897169,421.718758258479,"ambient","Subsoil
(40-100 cm)"
"Plate_006-5","Plate_006","60-80 cm","120(C2)60-80","(C2)","60-80","Pioneer zone","13.09.2022","Spartina anglica","Salicornia europaea","Plate_006-5","29.06.2023",2025-07-08 10:40:00,2025-07-08 10:30:00,"93",5,221.75,359056.5,4422.25,3246.5,1133396.75,852329,5,89,"120",2.04,22.02,17.1663,20.4496,19.1043,19.0007,0.1036,0.03155362,0.064369384,"GLU",23.8333333333333,24.06,3.14755546828981,71811.3,265337.094530738,265.172424394326,"ambient","Subsoil
(40-100 cm)"
"Plate_006-6","Plate_006","80-100 cm","120(C2)80-100","(C2)","80-100","Pioneer zone","13.09.2022","Spartina anglica","Salicornia europaea","Plate_006-6","29.06.2023",2025-07-08 10:40:00,2025-07-08 10:30:00,"23",6,221.75,359056.5,4422.25,3329.5,1458738,477396.5,5,90,"120",2.04,22.03,17.5044,20.427,19.4256,19.3385,0.0871,0.029802231,0.060796551,"GLU",23.8333333333333,24.07,4.05342473956049,71811.3,112532.431648142,119.125760611324,"ambient","Subsoil
(40-100 cm)"
"Plate_007-1","Plate_007","0-5 cm","121(A2)0-5","(A2)","0-5","Pioneer zone","13.09.2022","Spartina anglica","","Plate_007-1","29.06.2023",2025-07-08 11:00:00,2025-07-08 10:40:00,"45",1,225,349430.5,1574.5,3445.5,1057033.5,4527685,5,97,"121",2.02,22,18.7173,21.0881,20.0547,19.9395,0.1152,0.048591193,0.09815421,"GLU",23.6666666666667,24.02,3.01515752059422,69886.1,1498924.05408827,1015.6299116027,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_007-2","Plate_007","5-10 cm","121(A2)5-10","(A2)","5-10","Pioneer zone","13.09.2022","Spartina anglica","","Plate_007-2","29.06.2023",2025-07-08 11:00:00,2025-07-08 10:40:00,"49",2,225,349430.5,1574.5,3119.75,876003.5,1586316.5,5,98,"121",2.01,22.02,17.5733,19.8271,19.1173,19.0477,0.0696,0.030881178,0.062071169,"GLU",23.6666666666667,24.03,2.49801820390607,69886.1,632206.609971259,677.998178792666,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_007-3","Plate_007","20-30 cm","121(A2)20-30","(A2)","20-30","Pioneer zone","13.09.2022","Spartina anglica","","Plate_007-3","29.06.2023",2025-07-08 11:00:00,2025-07-08 10:40:00,"39",3,225,349430.5,1574.5,3545,838130.25,2613339.25,5,99,"121",2.02,22,18.0532,20.4947,19.5469,19.4543,0.0926,0.037927504,0.076613557,"GLU",23.6666666666667,24.02,2.38841557906365,69886.1,1091114.00566749,947.172957593087,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_007-4","Plate_007","40-50 cm","121(A2)40-50","(A2)","40-50","Pioneer zone","13.09.2022","Spartina anglica","","Plate_007-4","29.06.2023",2025-07-08 11:00:00,2025-07-08 10:40:00,"95",4,229.25,360471.25,1652,3397,1323695.25,2399449,5,100,"121",2.01,22.02,17.3334,19.5172,18.6012,18.5113,0.0899,0.041166774,0.082745215,"GLU",23.6666666666667,24.03,3.6627005621114,72094.25,652524.326829942,508.865977694945,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_007-5","Plate_007","60-80 cm","121(A2)60-80","(A2)","60-80","Pioneer zone","13.09.2022","Spartina anglica","","Plate_007-5","29.06.2023",2025-07-08 11:00:00,2025-07-08 10:40:00,"64",5,229.25,360471.25,1652,3297.25,1437198.75,1384297,5,101,"121",2.01,22.01,18.4526,21.5415,20.5098,20.4095,0.1003,0.032471106,0.065266924,"GLU",23.6666666666667,24.02,3.97785260266942,72094.25,345520.177539522,341.454305942545,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_007-6","Plate_007","80-100 cm","121(A2)80-100","(A2)","80-100","Pioneer zone","13.09.2022","Spartina anglica","","Plate_007-6","29.06.2023",2025-07-08 11:00:00,2025-07-08 10:40:00,"177",6,229.25,360471.25,1652,3675,1250372.75,1322044.75,5,102,"121",2,22,21.0767,24.1533,23.0465,22.9422,0.1043,0.03390106,0.067802119,"GLU",23.6666666666667,24,3.45852200418203,72094.25,379542.553166305,360.887775061871,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_008-1","Plate_008","0-5 cm","390(A2)0-5","(A2)","0-5","High marsh","15.09.2022","Elymus athericus","Atriplex portulacoides","Plate_008-1","29.06.2023",2025-07-08 11:15:00,2025-07-08 10:45:00,"30",1,225,366952,2107.5,5871.25,946193.25,4849967.5,5,577,"390",2.06,22.06,17.0785,18.2248,17.6725,17.5888,0.0837,0.073017535,0.150416121,"GLU",23.5,24.12,2.56252043864048,73390.4,1888256.44674378,802.851063193101,"ambient","Topsoil
(0-30 cm)"
"Plate_008-2","Plate_008","5-10 cm","390(A2)5-10","(A2)","5-10","High marsh","15.09.2022","Elymus athericus","Atriplex portulacoides","Plate_008-2","29.06.2023",2025-07-08 11:15:00,2025-07-08 10:45:00,"117",2,225,366952,2107.5,5367.5,902419.75,4459210.25,5,578,"390",2.07,22.06,18.0428,21.0885,19.6648,19.5008,0.164,0.053846406,0.111462061,"GLU",23.5,24.13,2.44460379014149,73390.4,1819800.31506651,1044.15521562469,"ambient","Topsoil
(0-30 cm)"
"Plate_008-3","Plate_008","20-30 cm","390(A2)20-30","(A2)","20-30","High marsh","15.09.2022","Elymus athericus","Atriplex portulacoides","Plate_008-3","29.06.2023",2025-07-08 11:15:00,2025-07-08 10:45:00,"97",3,225,366952,2107.5,4856.25,1271759,3737598.75,5,579,"390",2.04,22.01,16.9686,19.3885,18.7556,18.7036,0.052,0.021488491,0.043836522,"GLU",23.5,24.05,3.4525026433975,73390.4,1079062.56286394,1570.70080163953,"ambient","Topsoil
(0-30 cm)"
"Plate_008-4","Plate_008","40-50 cm","390(A2)40-50","(A2)","40-50","High marsh","15.09.2022","Elymus athericus","Atriplex portulacoides","Plate_008-4","29.06.2023",2025-07-08 11:15:00,2025-07-08 10:45:00,"36",4,210.25,364732,1896.75,5140,1485381.25,1797883.25,5,580,"390",2.02,22.04,22.0203,24.8404,24.2141,24.148,0.0661,0.023438885,0.047346548,"GLU",23.5,24.06,4.05843537172499,72946.4,439835.860180266,597.189527118002,"ambient","Subsoil
(40-100 cm)"
"Plate_008-5","Plate_008","60-80 cm","390(A2)60-80","(A2)","60-80","High marsh","15.09.2022","Elymus athericus","Atriplex portulacoides","Plate_008-5","29.06.2023",2025-07-08 11:15:00,2025-07-08 10:45:00,"172",5,210.25,364732,1896.75,5235.75,1637442.5,120531,5,581,"390",2,22.02,19.7953,22.8187,22.1576,22.1118,0.0458,0.015148508,0.030297017,"GLU",23.5,24.02,4.4750851310003,72946.4,23867.0615532851,50.595824268236,"ambient","Subsoil
(40-100 cm)"
"Plate_008-6","Plate_008","80-100 cm","390(A2)80-100","(A2)","80-100","High marsh","15.09.2022","Elymus athericus","Atriplex portulacoides","Plate_008-6","29.06.2023",2025-07-08 11:15:00,2025-07-08 10:45:00,"59",6,210.25,364732,1896.75,6318.75,1516347.5,559388,5,582,"390",2.04,22.09,16.1753,19.8688,18.9968,18.9239,0.0729,0.019737376,0.040264248,"GLU",23.5,24.13,4.14010492635689,72946.4,131691.470549443,210.732757043814,"ambient","Subsoil
(40-100 cm)"
"Plate_009-1","Plate_009","0-5 cm","390(G5)0-5","(G5)","0-5","High marsh","15.09.2022","Elymus athericus","","Plate_009-1","29.06.2023",2025-07-08 13:30:00,2025-07-08 10:50:00,"20",1,225.5,167382.25,1048.75,5503,588153.5,3870399.75,5,595,"390",2,22.03,17.1692,19.3012,18.3826,18.2134,0.1692,0.079362101,0.158724203,"GLU",21.3333333333333,24.03,3.48095750893539,33476.45,1109248.27031095,1077.88391283969,"ambient","Topsoil
(0-30 cm)"
"Plate_009-2","Plate_009","5-10 cm","390(G5)5-10","(G5)","5-10","High marsh","15.09.2022","Elymus athericus","","Plate_009-2","29.06.2023",2025-07-08 13:30:00,2025-07-08 10:50:00,"157",2,225.5,167382.25,1048.75,5432.5,805037.25,4797678.25,5,596,"390",2.04,22.01,21.4219,23.6296,22.7646,22.6516,0.113,0.051184491,0.104416361,"GLU",21.3333333333333,24.05,4.77711794410698,33476.45,1002117.97229366,1478.91164246233,"ambient","Topsoil
(0-30 cm)"
"Plate_009-4","Plate_009","40-50 cm","390(G5)40-50","(G5)","40-50","High marsh","15.09.2022","Elymus athericus","","Plate_009-4","29.06.2023",2025-07-08 13:30:00,2025-07-08 10:50:00,"5",4,705.75,163808.25,882.5,4693.25,1164547,2207293.5,5,598,"390",2.03,22.04,16.7472,19.6169,18.7775,18.6978,0.0797,0.027772938,0.056379064,"GLU",21.3333333333333,24.07,7.08055760317322,32761.65,310194.730557786,867.508349391158,"ambient","Subsoil
(40-100 cm)"
"Plate_009-5","Plate_009","60-80 cm","390(G5)60-80","(G5)","60-80","High marsh","15.09.2022","Elymus athericus","","Plate_009-5","29.06.2023",2025-07-08 13:30:00,2025-07-08 10:50:00,"25",5,705.75,163808.25,882.5,4631.25,1135845.75,647620.25,5,599,"390",2.02,22.1,17.2099,20.6901,19.8149,19.7259,0.089,0.025573243,0.051657951,"GLU",21.3333333333333,24.12,6.9057236128217,32761.65,92227.0763528933,282.266317830795,"ambient","Subsoil
(40-100 cm)"
"Plate_009-6","Plate_009","80-100 cm","390(G5)80-100","(G5)","80-100","High marsh","15.09.2022","Elymus athericus","","Plate_009-6","29.06.2023",2025-07-08 13:30:00,2025-07-08 10:50:00,"35",6,705.75,163808.25,882.5,4474.5,1337814.75,300165.75,5,600,"390",2.06,22.04,16.5804,19.7744,19.0244,18.9441,0.0803,0.025140889,0.051790232,"GLU",21.3333333333333,24.1,8.13964040272697,32761.65,35444.8112041825,107.910056481223,"ambient","Subsoil
(40-100 cm)"
"Plate_010-1","Plate_010","0-5 cm","371(G5)0-5","(G5)","0-5","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_010-1","29.06.2023",2025-07-08 13:40:00,2025-07-08 10:50:00,"78",1,202.25,176361.5,1008,4900.25,741204.75,4162451.5,5,475,"371",2.06,22.02,16.92,19.191,18.3703,18.1663,0.204,0.089828269,0.185046235,"GLU",21.1666666666667,24.08,4.17497299580691,35272.3,994819.099762225,792.802352786027,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_010-2","Plate_010","5-10 cm","371(G5)5-10","(G5)","5-10","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_010-2","29.06.2023",2025-07-08 13:40:00,2025-07-08 10:50:00,"67",2,202.25,176361.5,1008,3395.25,730713.25,4957488,5,476,"371",1.98,22.08,17.416,20.9049,19.7326,19.5467,0.1859,0.05328327,0.105500874,"GLU",21.1666666666667,24.06,4.12401799712522,35272.3,1200270.15966211,1682.3090251721,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_010-3","Plate_010","20-30 cm","371(G5)20-30","(G5)","20-30","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_010-3","29.06.2023",2025-07-08 13:40:00,2025-07-08 10:50:00,"166",3,202.25,176361.5,1008,4097.75,1378216.5,3940709,5,477,"371",2.02,22,20.0533,22.46,21.6313,21.5368,0.0945,0.039265384,0.079316076,"GLU",21.1666666666667,24.02,7.79148935567003,35272.3,504237.027015951,936.655630759616,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_010-4","Plate_010","40-50 cm","371(G5)40-50","(G5)","40-50","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_010-4","29.06.2023",2025-07-08 13:40:00,2025-07-08 10:50:00,"32",4,201.25,171797.5,871.25,3704,1432949.25,1286904.75,5,478,"371",2.01,22.03,17.1246,20.7114,19.6343,19.5101,0.1242,0.034626966,0.069600201,"GLU",21.1666666666667,24.04,8.31936000232832,34359.5,153371.474156771,333.748477835279,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_010-5","Plate_010","60-80 cm","371(G5)60-80","(G5)","60-80","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_010-5","29.06.2023",2025-07-08 13:40:00,2025-07-08 10:50:00,"173",5,201.25,171797.5,871.25,3609.75,1183508.25,1975808.75,5,479,"371",1.99,22.05,19.3887,23.0902,22.0956,21.9737,0.1219,0.032932595,0.065535864,"GLU",21.1666666666667,24.04,6.86796082597244,34359.5,286288.075740731,662.221874609218,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_010-6","Plate_010","80-100 cm","371(G5)80-100","(G5)","80-100","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_010-6","29.06.2023",2025-07-08 13:40:00,2025-07-08 10:50:00,"92",6,201.25,171797.5,871.25,3753.5,1044794.75,1426431.25,5,480,"371",2.04,22.02,16.9464,19.9627,19.1963,19.1041,0.0922,0.030567251,0.062357193,"GLU",21.1666666666667,24.06,6.05969964638601,34359.5,233905.691601137,567.861264758811,"+1.5°C","Subsoil
(40-100 cm)"
