ID	Zone	Plot	Subplot	Depth	Treatment	Name	Vegetation Status 	Species	Comment	Replicate_ID	Treshhold_Cylce	log10_copies			
91	LM	241	veg	0-10	1.5C	241veg0-10	3	Triglochin maritima		1	29.16	4.903579703	6.220515317		
93	LM	241	veg	20-30	1.5C	241veg20-30	3	Triglochin maritima		2	28.50	5.181866686	6.573540768		
94	LM	241	ctr	0-10	1.5C	241ctr0-10		Triglochin maritima		3	29.05	5.015356112	6.362311087		
96	LM	241	ctr	20-30	1.5C	241ctr20-30		Triglochin maritima		4	29.25	5.144822957	6.526548347		
97	LM	241	non-veg	0-10	1.5C	241non-veg0-10				5	28.80	5.073386435	6.435926391		
99	LM	241	non-veg	20-30	1.5C	241non-veg20-30				6	28.72	5.289969826	6.710676754		
100	LM	242	veg	0-10	3.0C	242veg0-10	1	Limonium vulgare		1	28.85	5.003589042	6.347383781		
102	LM	242	veg	20-30	3.0C	242veg20-30	1	Limonium vulgare		2	28.90	5.230715412	6.635508609		
103	LM	242	ctr	0-10	3.0C	242ctr0-10		Limonium vulgare		3	28.42	4.984369768	6.323002859		
105	LM	242	ctr	20-30	3.0C	242ctr20-30		Limonium vulgare		4	28.77	5.182252289	6.574029931		
106	LM	242	non-veg	0-10	3.0C	242non-veg0-10				5	28.10	5.072038713	6.434216717		
108	LM	242	non-veg	20-30	3.0C	242non-veg20-30				6	29.30	4.998578492	6.341027565		
109	LM	250	veg	0-10	ambient	250veg0-10	2	Atriplex portulacoides		1	28.93	4.888525452	6.201418003		
111	LM	250	veg	20-30	ambient	250veg20-30	2	Atriplex portulacoides		2	28.87	5.14436805	6.525971267		
112	LM	250	ctr	0-10	ambient	250ctr0-10		Limonium vulgare		3	29.40	4.777659714	6.060777478		
114	LM	250	ctr	20-30	ambient	250ctr20-30		Limonium vulgare		4	28.67	5.275884255	6.692808275		
115	LM	250	non-veg	0-10	ambient	250non-veg0-10				5	28.77	4.950236855	6.279703		
117	LM	250	non-veg	20-30	ambient	250non-veg20-30				6	28.89	5.144213828	6.525775625		
118	LM	251	veg	0-10	1.5C	251veg0-10	2	Atriplex portulacoides, Salicornia, Limonium vulgare		1	28.24	5.063391412	6.301620539	5.192525638	1.268566169
120	LM	251	veg	20-30	1.5C	251veg20-30	2	Atriplex portulacoides, Salicornia, Limonium vulgare		2	29.45	5.252199891	7.076803197	6.587062353	
121	LM	251	ctr	0-10	1.5C	251ctr0-10		Atriplex portulacoides		3	28.70	5.103631493	7.232725421		
123	LM	251	ctr	20-30	1.5C	251ctr20-30		Atriplex portulacoides		4	28.79	5.420124297	6.389386819		
124	LM	251	non-veg	0-10	1.5C	251non-veg0-10				5	28.18	5.069740633	6.000619188		
126	LM	251	non-veg	20-30	1.5C	251non-veg20-30				6	29.57	5.246066101	6.521218958		
127	LM	252	veg	0-10	3.0C	252veg0-10	2	Atriplex portulacoides, Spartina anglica		1	20.47	5.97			
129	LM	252	veg	20-30	3.0C	252veg20-30	2	Atriplex portulacoides, Spartina anglica		2	21.12	5.94			
130	LM	252	ctr	0-10	3.0C	252ctr0-10		Atriplex portulacoides, Spartina anglica		3	21.10	6.27			
132	LM	252	ctr	20-30	3.0C	252ctr20-30		Atriplex portulacoides, Spartina anglica		4	21.12	6.43			
133	LM	252	non-veg	0-10	3.0C	252non-veg0-10				5	21.47	6.18			
135	LM	252	non-veg	20-30	3.0C	252non-veg20-30				6	21.32	6.35			
136	LM	260	veg	0-10	ambient	260veg0-10	2	Puccinellia		1	23.14	5.91			
138	LM	260	veg	20-30	ambient	260veg20-30	2	Puccinellia		2	21.19	6.52			
139	LM	260	ctr	0-10	ambient	260ctr0-10		Puccinellia		3	19.82	6.37			
141	LM	260	ctr	20-30	ambient	260ctr20-30		Puccinellia		4	21.32	6.92			
142	LM	260	non-veg	0-10	ambient	260non-veg0-10				5	21.41	6.16			
144	LM	260	non-veg	20-30	ambient	260non-veg20-30				6	21.57	6.48			
145	LM	261	veg	0-10	1.5C	261veg0-10	2	Puccinellia, Salicornia		1	22.24	6.13			
147	LM	261	veg	20-30	1.5C	261veg20-30	2	Puccinellia, Salicornia		2	20.63	6.46			
148	LM	261	ctr	0-10	1.5C	261ctr0-10		Atriplex portulacoides		3	20.66	6.29			
150	LM	261	ctr	20-30	1.5C	261ctr20-30		Atriplex portulacoides		4	21.12	6.50			
151	LM	261	non-veg	0-10	1.5C	261non-veg0-10				5	21.98	6.10			
153	LM	261	non-veg	20-30	1.5C	261non-veg20-30				6	21.46	6.32			
154	LM	262	veg	0-10	3.0C	262veg0-10	2	Atriplex portulacoides		1	24.44	5.79			
156	LM	262	veg	20-30	3.0C	262veg20-30	2	Atriplex portulacoides		2	21.23	6.40			
157	LM	262	ctr	0-10	3.0C	262ctr0-10		Atriplex portulacoides		3	19.54	6.48			
159	LM	262	ctr	20-30	3.0C	262ctr20-30		Atriplex portulacoides		4	22.32	6.24			
160	LM	262	non-veg	0-10	3.0C	262non-veg0-10				5	24.38	5.94			
162	LM	262	non-veg	20-30	3.0C	262non-veg20-30				6	20.89	6.41			
163	HM	370	veg	0-10	ambient	370veg0-10	3	Elymus		1	22.47	5.93			
165	HM	370	veg	20-30	ambient	370veg20-30	3	Elymus		2	20.42	6.58			
166	HM	370	ctr	0-10	ambient	370ctr0-10		Elymus		3	21.16	5.84			
168	HM	370	ctr	20-30	ambient	370ctr20-30		Elymus		4	21.51	6.43			
169	HM	370	non-veg	0-10	ambient	370non-veg0-10				5	21.46	6.20			
171	HM	370	non-veg	20-30	ambient	370non-veg20-30				6	21.51	6.33			
172	HM	371	veg	0-10	1.5C	371veg0-10	2	Elymus		1	24.97	5.66			
174	HM	371	veg	20-30	1.5C	371veg20-30	2	Elymus		2	22.37	6.24			
175	HM	371	ctr	0-10	1.5C	371ctr0-10		Atriplex portulacoides, Elymus		3	23.54	6.00			
177	HM	371	ctr	20-30	1.5C	371ctr20-30		Atriplex portulacoides, Elymus		4	21.27	6.33			
178	HM	371	non-veg	0-10	1.5C	371non-veg0-10				5	21.43	6.18			
180	HM	371	non-veg	20-30	1.5C	371non-veg20-30				6	21.39	6.36			
181	HM	372	veg	0-10	3.0C	372veg0-10	2	Elymus		1	21.55	6.18			
183	HM	372	veg	20-30	3.0C	372veg20-30	2	Elymus		2	22.20	6.17			
184	HM	372	ctr	0-10	3.0C	372ctr0-10		Elymus		3	21.18	6.20			
186	HM	372	ctr	20-30	3.0C	372ctr20-30		Elymus		4	20.86	6.17			
187	HM	372	non-veg	0-10	3.0C	372non-veg0-10				5	22.01	6.21			
189	HM	372	non-veg	20-30	3.0C	372non-veg20-30				6	21.73	6.24			
190	HM	380	veg	0-10	ambient	380veg0-10	2	Elymus, Seedling spec.		1	22.63	6.03			
192	HM	380	veg	20-30	ambient	380veg20-30	2	Elymus, Seedling spec.		2	22.59	6.18			
193	HM	380	ctr	0-10	ambient	380ctr0-10		Elymus		3					
195	HM	380	ctr	20-30	ambient	380ctr20-30		Elymus		4	22.09	6.25			
196	HM	380	non-veg	0-10	ambient	380non-veg0-10				5	22.24	6.02			
198	HM	380	non-veg	20-30	ambient	380non-veg20-30				6	22.15	6.18			
199	HM	381	veg	0-10	1.5C	381veg0-10	2	Elymus, Seedling spec.		1	22.65	5.88			
201	HM	381	veg	20-30	1.5C	381veg20-30	2	Elymus, Seedling spec.		2	22.68	6.11			
202	HM	381	ctr	0-10	1.5C	381ctr0-10		Elymus		3	20.60	6.31			
204	HM	381	ctr	20-30	1.5C	381ctr20-30		Elymus		4	20.73	6.37			
205	HM	381	non-veg	0-10	1.5C	381non-veg0-10				5	21.43	6.06			
207	HM	381	non-veg	20-30	1.5C	381non-veg20-30				6	21.58	6.29			
208	HM	382	veg	0-10	3.0C	382veg0-10	2	Atriplex portulacoides, Elymus		1	24.35	5.67			
210	HM	382	veg	20-30	3.0C	382veg20-30	2	Atriplex portulacoides, Elymus		2	23.62	5.96			
211	HM	382	ctr	0-10	3.0C	382ctr0-10		Elymus		3	23.69	5.85			
213	HM	382	ctr	20-30	3.0C	382ctr20-30		Elymus		4	21.08	6.33			
214	HM	382	non-veg	0-10	3.0C	382non-veg0-10				5	23.90	5.85			
216	HM	382	non-veg	20-30	3.0C	382non-veg20-30				6	22.10	6.29			
217	HM	390	veg	0-10	ambient	390veg0-10	2	Atriplex prostrata, Elymus		1	20.97	6.16			
219	HM	390	veg	20-30	ambient	390veg20-30	2	Atriplex prostrata, Elymus		2	21.53	6.32			
220	HM	390	ctr	0-10	ambient	390ctr0-10		Atriplex portulacoides, Elymus		3	21.05	6.08			
222	HM	390	ctr	20-30	ambient	390ctr20-30		Atriplex portulacoides, Elymus		4	21.16	6.30			
223	HM	390	non-veg	0-10	ambient	390non-veg0-10				5	21.35	6.09			
225	HM	390	non-veg	20-30	ambient	390non-veg20-30				6	21.56	6.13			
226	HM	391	veg	0-10	1.5C	391veg0-10	3	Atriplex prostrata, Elymus		1	21.24	6.02			
228	HM	391	veg	20-30	1.5C	391veg20-30	3	Atriplex prostrata, Elymus		2	21.48	6.24			
229	HM	391	ctr	0-10	1.5C	391ctr0-10		Atriplex prostrata, Elymus		3	23.39	5.69			
231	HM	391	ctr	20-30	1.5C	391ctr20-30		Atriplex prostrata, Elymus		4	21.02	6.40			
232	HM	391	non-veg	0-10	1.5C	391non-veg0-10				5	21.44	6.04			
234	HM	391	non-veg	20-30	1.5C	391non-veg20-30				6	20.87	6.32			
235	HM	392	veg	0-10	3.0C	392veg0-10	1	Elymus		1	21.22	6.11			
237	HM	392	veg	20-30	3.0C	392veg20-30	1	Elymus		2	20.96	6.48			
238	HM	392	ctr	0-10	3.0C	392ctr0-10		Atriplex prostrata, Elymus		3	21.28	6.20			
240	HM	392	ctr	20-30	3.0C	392ctr20-30		Atriplex prostrata, Elymus		4	21.05	6.56			
241	HM	392	non-veg	0-10	3.0C	392non-veg0-10				5	21.33	6.10			
243	HM	392	non-veg	20-30	3.0C	392non-veg20-30				6	21.60	6.41	
